ALGORITHM, DISTANCE, TIME
FootRule+, 100.1516, 62.50000
FootRule+_Local-Search, 100.0944, 1203.12500
FootRule+_Chanas, 100.123, 1125.00000
RandomSort, 135.2106, 203.12500
RandomSort_Local-Search, 100.0944, 1312.50000
RandomSort_Chanas, 109.065, 1562.50000
Borda+, 100.8364, 109.37500
Borda+_Local-Search, 100.0944, 1187.50000
Borda+_Chanas, 100.493, 1156.25000
Score-Then-Borda+, 100.4528, 156.25000
Score-Then-Borda+_Local-Search, 100.0944, 1265.62500
Score-Then-Borda+_Chanas, 100.2216, 1281.25000
Relaxed-Linear-Program, 100.0944, 4515.62500
Relaxed-Linear-Program_Local-Search, 100.0944, 5562.50000
Relaxed-Linear-Program_Chanas, 100.0944, 5578.12500
Local-Search, 100.0944, 1125.00000
Local-Search_Chanas, 100.0944, 2453.12500
Chanas, 117.8576, 1031.25000
Chanas_Local-Search, 100.0944, 2125.00000
Copeland, 223.081, 1187.50000
Copeland_Local-Search, 100.0944, 2312.50000
Copeland_Chanas, 100.1234, 2218.75000
QS-Rand, 185.61, 1031.25000
QS-Rand_Local-Search, 100.0944, 2171.87500
QS-Rand_Chanas, 123.3904, 2062.50000
QS-Det, 128.2494, 1031.25000
QS-Det_Local-Search, 100.0944, 2109.37500
QS-Det_Chanas, 118.7026, 2093.75000
IS, 223.0646, 1031.25000
IS_Local-Search, 100.0944, 2140.62500
IS_Chanas, 100.1398, 2062.50000
Opt, 100.0944, 4375.00000
