ALGORITHM, DISTANCE, TIME
FootRule+, 424.46, 31.25000
FootRule+_Local-Search, 407.8, 375.00000
FootRule+_Chanas, 418.82, 125.00000
RandomSort, 420.24, 15.62500
RandomSort_Local-Search, 407.92, 343.75000
RandomSort_Chanas, 416.8, 109.37500
Borda+, 447.1, 0.00000
Borda+_Local-Search, 407.54, 500.00000
Borda+_Chanas, 436.4, 93.75000
Score-Then-Borda+, 432.92, 0.00000
Score-Then-Borda+_Local-Search, 407.8, 375.00000
Score-Then-Borda+_Chanas, 423.08, 93.75000
Relaxed-Linear-Program, 407.54, 18984.37500
Relaxed-Linear-Program_Local-Search, 407.54, 19062.50000
Relaxed-Linear-Program_Chanas, 407.54, 19093.75000
Local-Search, 407.92, 546.87500
Local-Search_Chanas, 407.92, 656.25000
Chanas, 455.26, 62.50000
Chanas_Local-Search, 407.62, 515.62500
Copeland, 767.34, 31.25000
Copeland_Local-Search, 408.02, 937.50000
Copeland_Chanas, 424.38, 78.12500
QS-Rand, 703.54, 46.87500
QS-Rand_Local-Search, 407.54, 609.37500
QS-Rand_Chanas, 470.78, 93.75000
QS-Det, 678.44, 46.87500
QS-Det_Local-Search, 407.76, 531.25000
QS-Det_Chanas, 478.72, 93.75000
IS, 733.14, 46.87500
IS_Local-Search, 408.16, 484.37500
IS_Chanas, 455.04, 93.75000
Opt, 407.54, 16593.75000
