ALGORITHM, DISTANCE, TIME
FootRule+, 117.84, 0.00000
FootRule+_Chanas, 114.56, 31.25000
FootRule+_Local-Search, 111.6, 78.12500
RandomSort, 123.74, 0.00000
RandomSort_Chanas, 119.58, 15.62500
RandomSort_Local-Search, 111.54, 93.75000
Borda+, 124.2, 0.00000
Borda+_Chanas, 121.6, 31.25000
Borda+_Local-Search, 111.8, 109.37500
Score-Then-Borda+, 123.6, 0.00000
Score-Then-Borda+_Chanas, 120.12, 15.62500
Score-Then-Borda+_Local-Search, 111.86, 93.75000
Relaxed-Linear-Program, 111.54, 3484.37500
Relaxed-Linear-Program_Chanas, 111.54, 3500.00000
Relaxed-Linear-Program_Local-Search, 111.54, 3515.62500
Local-Search, 111.82, 78.12500
Local-Search_Chanas, 111.82, 109.37500
Chanas, 124.92, 15.62500
Chanas_Local-Search, 111.8, 109.37500
Copeland, 216.88, 15.62500
Copeland_Chanas, 114.68, 31.25000
Copeland_Local-Search, 111.54, 125.00000
QS-Rand, 203.88, 0.00000
QS-Rand_Chanas, 123.04, 15.62500
QS-Rand_Local-Search, 111.6, 109.37500
QS-Det, 203.76, 0.00000
QS-Det_Chanas, 121.42, 15.62500
QS-Det_Local-Search, 111.86, 93.75000
IS, 210.56, 0.00000
IS_Chanas, 119.98, 15.62500
IS_Local-Search, 111.6, 125.00000
Opt, 111.54, 3343.75000
