ALGORITHM, DISTANCE, TIME
FootRule+, 307.14, 31.25000
FootRule+_Chanas, 302.56, 109.37500
FootRule+_Local-Search, 289.68, 406.25000
RandomSort, 308.2, 15.62500
RandomSort_Chanas, 293.66, 93.75000
RandomSort_Local-Search, 289.68, 453.12500
Borda+, 344.42, 15.62500
Borda+_Chanas, 321.98, 93.75000
Borda+_Local-Search, 289.68, 515.62500
Score-Then-Borda+, 321.44, 15.62500
Score-Then-Borda+_Chanas, 312.9, 93.75000
Score-Then-Borda+_Local-Search, 289.82, 500.00000
Relaxed-Linear-Program, 289.68, 19328.12500
Relaxed-Linear-Program_Chanas, 289.68, 19421.87500
Relaxed-Linear-Program_Local-Search, 289.68, 19390.62500
Local-Search, 289.82, 546.87500
Local-Search_Chanas, 289.82, 640.62500
Chanas, 333.74, 46.87500
Chanas_Local-Search, 289.82, 531.25000
Copeland, 618.5, 31.25000
Copeland_Chanas, 306.82, 78.12500
Copeland_Local-Search, 289.68, 578.12500
QS-Rand, 556.32, 31.25000
QS-Rand_Chanas, 330.52, 78.12500
QS-Rand_Local-Search, 289.68, 453.12500
QS-Det, 574.84, 46.87500
QS-Det_Chanas, 338.48, 93.75000
QS-Det_Local-Search, 289.68, 531.25000
IS, 602.58, 31.25000
IS_Chanas, 321.84, 62.50000
IS_Local-Search, 289.68, 578.12500
Opt, 289.68, 16578.12500
