ALGORITHM, DISTANCE, TIME
FootRule+, 155.417, 62.50000
FootRule+_Local-Search, 154.8914, 1156.25000
FootRule+_Chanas, 155.1878, 1125.00000
RandomSort, 160.0876, 218.75000
RandomSort_Local-Search, 154.8632, 1359.37500
RandomSort_Chanas, 156.5976, 1546.87500
Borda+, 157.1398, 125.00000
Borda+_Local-Search, 154.8738, 1234.37500
Borda+_Chanas, 156.3146, 1171.87500
Score-Then-Borda+, 157.1398, 171.87500
Score-Then-Borda+_Local-Search, 154.862, 1296.87500
Score-Then-Borda+_Chanas, 156.3146, 1218.75000
Relaxed-Linear-Program, 154.862, 4578.12500
Relaxed-Linear-Program_Local-Search, 154.862, 5609.37500
Relaxed-Linear-Program_Chanas, 154.862, 5625.00000
Local-Search, 154.867, 1125.00000
Local-Search_Chanas, 154.867, 2421.87500
Chanas, 156.9676, 1031.25000
Chanas_Local-Search, 154.876, 2187.50000
Copeland, 167.9542, 1031.25000
Copeland_Local-Search, 154.8748, 2125.00000
Copeland_Chanas, 155.2502, 2078.12500
QS-Rand, 165.3504, 1031.25000
QS-Rand_Local-Search, 154.8836, 2140.62500
QS-Rand_Chanas, 156.731, 2062.50000
QS-Det, 165.276, 1031.25000
QS-Det_Local-Search, 154.9298, 2140.62500
QS-Det_Chanas, 156.9898, 2062.50000
IS, 167.7856, 1031.25000
IS_Local-Search, 154.8868, 2296.87500
IS_Chanas, 155.38, 2062.50000
Opt, 154.862, 4375.00000
