ALGORITHM, DISTANCE, TIME
FootRule+, 17.855, 56.92017
Borda+, 17.855, 8.67148
Score-Then-Borda+, 17.855, 13.52142
RandomSort, 28.945, 7.50780
Local-Search, 17.845, 775.19994
Linear-Programming-Relaxation, 17.845, 4726.46389
Copeland, 1322.22, 164.57491
OPTIMAL, 17.845, 4675.96527
Chanas, 723.98, 293.78388
QS RAND, 850.54, 169.44487
QS DET, 636.97, 178.87832
IS, 1322.22, 170.39163
