ALGORITHM, DISTANCE, TIME
FootRule+, 619.313, 91.21608
Borda+, 635.926, 86.03495
Score-Then-Borda+, 635.926, 131.56278
RandomSort, 643.2525, 72.21862
Local-Search, 614.5305, 2322.47088
Linear-Programming-Relaxation, 615.5225, 6124.15848
Copeland, 701.9955, 1592.65060
OPTIMAL, 614.366, 6121.18549
Chanas, 659.677, 1880.93843
QS RAND, 683.763, 1950.97609
QS DET, 683.878, 1895.15055
IS, 697.0215, 1986.65911
