ALGORITHM, DISTANCE, TIME
FootRule+, 12.2735, 35.75323
Borda+, 12.2735, 56.70544
Score-Then-Borda+, 12.2735, 86.78329
RandomSort, 20.376, 69.85433
Local-Search, 12.2735, 539.71563
Linear-Programming-Relaxation, 12.2735, 998.37790
Copeland, 373.91, 473.43213
OPTIMAL, 12.2735, 1004.16785
Chanas, 133.329, 499.96567
QS RAND, 276.792, 484.83813
QS DET, 201.606, 498.13605
IS, 373.91, 468.91067
