ALGORITHM, DISTANCE, TIME
FootRule+, 403.2375, 40.24884
Borda+, 404.19375, 34.23137
Score-Then-Borda+, 402.11625, 55.66054
RandomSort, 421.42125, 29.09131
Local-Search, 396.565, 834.37027
Linear-Programming-Relaxation, 397.36125, 2270.96008
Copeland, 488.0075, 461.70549
OPTIMAL, 396.54875, 2275.91067
Chanas, 439.95375, 489.67472
QS RAND, 465.90375, 442.89487
QS DET, 471.9925, 457.89466
IS, 477.14875, 449.66056
