ALGORITHM, DISTANCE, TIME
FootRule+, 19.3, 40.20250
Borda+, 19.30125, 37.67413
Score-Then-Borda+, 19.30125, 59.23905
RandomSort, 31.73625, 30.13545
Local-Search, 19.3, 693.97601
Linear-Programming-Relaxation, 19.3, 2312.29385
Copeland, 867.395, 466.39268
OPTIMAL, 19.3, 2268.69271
Chanas, 428.1725, 480.90507
QS RAND, 667.42, 429.85977
QS DET, 429.52125, 448.41886
IS, 867.395, 441.98737
