ALGORITHM, DISTANCE, TIME
FootRule+, 435.36125, 43.81057
Borda+, 439.53375, 47.45497
Score-Then-Borda+, 439.53375, 70.60046
RandomSort, 466.0075, 30.81968
Local-Search, 429.29, 787.09002
Linear-Programming-Relaxation, 428.8875, 2357.97163
Copeland, 524.7925, 526.10687
OPTIMAL, 428.8875, 2385.08897
Chanas, 468.20625, 530.65845
QS RAND, 498.44, 482.48202
QS DET, 505.26875, 500.09112
IS, 517.71125, 490.85369
