ALGORITHM, DISTANCE, TIME
FootRule+, 0.76, 0.00000
FootRule+_Local-Search, 0.76, 0.00000
FootRule+_Chanas, 0.76, 0.00000
RandomSort, 0.78, 0.00000
RandomSort_Local-Search, 0.76, 0.00000
RandomSort_Chanas, 0.76, 0.00000
Borda+, 2.22, 0.00000
Borda+_Local-Search, 0.76, 15.62500
Borda+_Chanas, 0.76, 0.00000
Score-Then-Borda+, 0.78, 0.00000
Score-Then-Borda+_Local-Search, 0.76, 0.00000
Score-Then-Borda+_Chanas, 0.76, 0.00000
Relaxed-Linear-Program, 0.76, 15.62500
Relaxed-Linear-Program_Local-Search, 0.76, 15.62500
Relaxed-Linear-Program_Chanas, 0.76, 15.62500
Local-Search, 0.76, 0.00000
Local-Search_Chanas, 0.76, 0.00000
Chanas, 0.76, 0.00000
Chanas_Local-Search, 0.76, 0.00000
Copeland, 4.22, 0.00000
Copeland_Local-Search, 0.76, 0.00000
Copeland_Chanas, 0.76, 0.00000
QS-Rand, 3.58, 0.00000
QS-Rand_Local-Search, 0.76, 0.00000
QS-Rand_Chanas, 1.3, 15.62500
QS-Det, 1.52, 0.00000
QS-Det_Local-Search, 0.76, 0.00000
QS-Det_Chanas, 0.76, 0.00000
IS, 4.22, 0.00000
IS_Local-Search, 0.76, 0.00000
IS_Chanas, 0.76, 0.00000
Opt, 0.76, 15.62500
