ALGORITHM, DISTANCE, TIME
FootRule+, 8.62, 0.00000
FootRule+_Chanas, 8.56, 0.00000
FootRule+_Local-Search, 8.56, 0.00000
RandomSort, 8.7, 0.00000
RandomSort_Chanas, 8.6, 15.62500
RandomSort_Local-Search, 8.56, 15.62500
Borda+, 11.275, 0.00000
Borda+_Chanas, 9.475, 0.00000
Borda+_Local-Search, 8.56, 15.62500
Score-Then-Borda+, 8.905, 0.00000
Score-Then-Borda+_Chanas, 8.58, 0.00000
Score-Then-Borda+_Local-Search, 8.56, 0.00000
Relaxed-Linear-Program, 8.56, 406.25000
Relaxed-Linear-Program_Chanas, 8.56, 406.25000
Relaxed-Linear-Program_Local-Search, 8.56, 421.87500
Local-Search, 8.56, 15.62500
Local-Search_Chanas, 8.56, 15.62500
Chanas, 9.56, 0.00000
Chanas_Local-Search, 8.56, 15.62500
Copeland, 16.36, 0.00000
Copeland_Chanas, 8.565, 0.00000
Copeland_Local-Search, 8.56, 15.62500
QS-Rand, 13.845, 0.00000
QS-Rand_Chanas, 9.86, 0.00000
QS-Rand_Local-Search, 8.56, 15.62500
QS-Det, 12.755, 0.00000
QS-Det_Chanas, 10.11, 0.00000
QS-Det_Local-Search, 8.56, 15.62500
IS, 16.355, 0.00000
IS_Chanas, 8.57, 0.00000
IS_Local-Search, 8.56, 0.00000
Opt, 8.56, 421.87500
