ALGORITHM, DISTANCE, TIME
FootRule+, 2.5075, 31.25000
FootRule+_Chanas, 2.5075, 140.62500
FootRule+_Local-Search, 2.5075, 109.37500
RandomSort, 2.58625, 15.62500
RandomSort_Chanas, 2.5075, 125.00000
RandomSort_Local-Search, 2.5075, 187.50000
Borda+, 2.655, 15.62500
Borda+_Chanas, 2.525, 125.00000
Borda+_Local-Search, 2.5075, 187.50000
Score-Then-Borda+, 2.5075, 0.00000
Score-Then-Borda+_Chanas, 2.5075, 109.37500
Score-Then-Borda+_Local-Search, 2.5075, 78.12500
Relaxed-Linear-Program, 2.5075, 11921.87500
Relaxed-Linear-Program_Chanas, 2.5075, 12046.87500
Relaxed-Linear-Program_Local-Search, 2.5075, 12000.00000
Local-Search, 2.5075, 390.62500
Local-Search_Chanas, 2.5075, 500.00000
Chanas, 14.32375, 93.75000
Chanas_Local-Search, 2.5075, 312.50000
Copeland, 185.8875, 46.87500
Copeland_Chanas, 2.5075, 140.62500
Copeland_Local-Search, 2.5075, 312.50000
QS-Rand, 175.67625, 46.87500
QS-Rand_Chanas, 11.58125, 140.62500
QS-Rand_Local-Search, 2.5075, 390.62500
QS-Det, 159.0425, 62.50000
QS-Det_Chanas, 17.0375, 156.25000
QS-Det_Local-Search, 2.5075, 375.00000
IS, 185.8875, 46.87500
IS_Chanas, 2.5075, 140.62500
IS_Local-Search, 2.5075, 390.62500
Opt, 2.5075, 11890.62500
