ALGORITHM, DISTANCE, TIME
FootRule+, 0.725, 0.00000
FootRule+_Chanas, 0.725, 0.00000
FootRule+_Local-Search, 0.725, 0.00000
RandomSort, 0.725, 0.00000
RandomSort_Chanas, 0.725, 0.00000
RandomSort_Local-Search, 0.725, 0.00000
Borda+, 0.725, 0.00000
Borda+_Chanas, 0.725, 0.00000
Borda+_Local-Search, 0.725, 0.00000
Score-Then-Borda+, 0.725, 0.00000
Score-Then-Borda+_Chanas, 0.725, 0.00000
Score-Then-Borda+_Local-Search, 0.725, 0.00000
Relaxed-Linear-Program, 0.725, 15.62500
Relaxed-Linear-Program_Chanas, 0.725, 15.62500
Relaxed-Linear-Program_Local-Search, 0.725, 15.62500
Local-Search, 0.725, 0.00000
Local-Search_Chanas, 0.725, 0.00000
Chanas, 1.12, 0.00000
Chanas_Local-Search, 0.725, 0.00000
Copeland, 3.98875, 0.00000
Copeland_Chanas, 0.725, 0.00000
Copeland_Local-Search, 0.725, 0.00000
QS-Rand, 1.3075, 0.00000
QS-Rand_Chanas, 0.725, 0.00000
QS-Rand_Local-Search, 0.725, 0.00000
QS-Det, 1.57125, 0.00000
QS-Det_Chanas, 1.12, 15.62500
QS-Det_Local-Search, 0.725, 0.00000
IS, 3.98875, 0.00000
IS_Chanas, 0.725, 0.00000
IS_Local-Search, 0.725, 0.00000
Opt, 0.725, 15.62500
