ALGORITHM, DISTANCE, TIME
FootRule+, 3.45625, 46.87500
FootRule+_Chanas, 3.45625, 312.50000
FootRule+_Local-Search, 3.45625, 234.37500
RandomSort, 3.46625, 31.25000
RandomSort_Chanas, 3.45625, 281.25000
RandomSort_Local-Search, 3.45625, 328.12500
Borda+, 3.82875, 15.62500
Borda+_Chanas, 3.6025, 265.62500
Borda+_Local-Search, 3.45625, 625.00000
Score-Then-Borda+, 3.46625, 0.00000
Score-Then-Borda+_Chanas, 3.45625, 265.62500
Score-Then-Borda+_Local-Search, 3.45625, 312.50000
Relaxed-Linear-Program, 3.45625, 29281.25000
Relaxed-Linear-Program_Chanas, 3.45625, 29546.87500
Relaxed-Linear-Program_Local-Search, 3.45625, 29468.75000
Local-Search, 3.45625, 796.87500
Local-Search_Chanas, 3.45625, 1062.50000
Chanas, 12.7025, 234.37500
Chanas_Local-Search, 3.45625, 734.37500
Copeland, 333.6525, 125.00000
Copeland_Chanas, 3.45625, 343.75000
Copeland_Local-Search, 3.45625, 1125.00000
QS-Rand, 296.0725, 125.00000
QS-Rand_Chanas, 24.61875, 343.75000
QS-Rand_Local-Search, 3.45625, 906.25000
QS-Det, 272.88625, 109.37500
QS-Det_Chanas, 38.57625, 328.12500
QS-Det_Local-Search, 3.45625, 1000.00000
IS, 333.6525, 109.37500
IS_Chanas, 3.45625, 328.12500
IS_Local-Search, 3.45625, 906.25000
Opt, 3.45625, 29640.62500
