ALGORITHM, DISTANCE, TIME
FootRule+, 1.08, 0.00000
FootRule+_Chanas, 1.08, 15.62500
FootRule+_Local-Search, 1.08, 0.00000
RandomSort, 1.08, 0.00000
RandomSort_Chanas, 1.08, 0.00000
RandomSort_Local-Search, 1.08, 0.00000
Borda+, 1.08, 0.00000
Borda+_Chanas, 1.08, 0.00000
Borda+_Local-Search, 1.08, 0.00000
Score-Then-Borda+, 1.08, 0.00000
Score-Then-Borda+_Chanas, 1.08, 15.62500
Score-Then-Borda+_Local-Search, 1.08, 0.00000
Relaxed-Linear-Program, 1.08, 390.62500
Relaxed-Linear-Program_Chanas, 1.08, 406.25000
Relaxed-Linear-Program_Local-Search, 1.08, 390.62500
Local-Search, 1.08, 0.00000
Local-Search_Chanas, 1.08, 0.00000
Chanas, 2.72, 0.00000
Chanas_Local-Search, 1.08, 0.00000
Copeland, 25.98, 0.00000
Copeland_Chanas, 1.08, 15.62500
Copeland_Local-Search, 1.08, 15.62500
QS-Rand, 13.66, 0.00000
QS-Rand_Chanas, 4.54, 0.00000
QS-Rand_Local-Search, 1.08, 0.00000
QS-Det, 15.04, 0.00000
QS-Det_Chanas, 4.0, 0.00000
QS-Det_Local-Search, 1.08, 15.62500
IS, 25.98, 0.00000
IS_Chanas, 1.08, 0.00000
IS_Local-Search, 1.08, 15.62500
Opt, 1.08, 390.62500
