ALGORITHM, DISTANCE, TIME
FootRule+, 3.54, 46.87500
FootRule+_Chanas, 3.52, 218.75000
FootRule+_Local-Search, 3.52, 250.00000
RandomSort, 3.82, 0.00000
RandomSort_Chanas, 3.62, 156.25000
RandomSort_Local-Search, 3.52, 203.12500
Borda+, 3.54, 15.62500
Borda+_Chanas, 3.52, 171.87500
Borda+_Local-Search, 3.52, 218.75000
Score-Then-Borda+, 3.54, 0.00000
Score-Then-Borda+_Chanas, 3.52, 156.25000
Score-Then-Borda+_Local-Search, 3.52, 187.50000
Relaxed-Linear-Program, 3.52, 29093.75000
Relaxed-Linear-Program_Chanas, 3.52, 29265.62500
Relaxed-Linear-Program_Local-Search, 3.52, 29171.87500
Local-Search, 3.52, 484.37500
Local-Search_Chanas, 3.52, 640.62500
Chanas, 22.76, 125.00000
Chanas_Local-Search, 3.52, 437.50000
Copeland, 351.16, 15.62500
Copeland_Chanas, 3.52, 140.62500
Copeland_Local-Search, 3.52, 1015.62500
QS-Rand, 309.34, 15.62500
QS-Rand_Chanas, 30.46, 140.62500
QS-Rand_Local-Search, 3.52, 609.37500
QS-Det, 322.62, 15.62500
QS-Det_Chanas, 21.7, 140.62500
QS-Det_Local-Search, 3.52, 609.37500
IS, 351.16, 15.62500
IS_Chanas, 3.52, 140.62500
IS_Local-Search, 3.52, 609.37500
Opt, 3.52, 29140.62500
