ALGORITHM, DISTANCE, TIME
FootRule+, 23.97, 31.25000
FootRule+_Chanas, 23.96, 343.75000
FootRule+_Local-Search, 23.96, 375.00000
RandomSort, 24.414, 140.62500
RandomSort_Chanas, 24.2296, 390.62500
RandomSort_Local-Search, 23.96, 421.87500
Borda+, 30.3856, 15.62500
Borda+_Chanas, 27.2226, 250.00000
Borda+_Local-Search, 23.96, 328.12500
Score-Then-Borda+, 26.2584, 31.25000
Score-Then-Borda+_Chanas, 25.242, 296.87500
Score-Then-Borda+_Local-Search, 23.96, 328.12500
Linear-Programming-Relaxation, 23.96, 3750.00000
Relaxed-Linear-Program_Chanas, 23.96, 4000.00000
Relaxed-Linear-Program_Local-Search, 23.96, 4000.00000
Local-Search, 23.96, 312.50000
Local-Search_Chanas, 23.96, 546.87500
Chanas, 28.0412, 234.37500
Chanas_Local-Search, 23.96, 531.25000
Copeland, 62.476, 218.75000
Copeland_Chanas, 23.96, 453.12500
Copeland_Local-Search, 23.96, 546.87500
QS RAND, 58.3944, 218.75000
Quick-Sort-Rand_Chanas, 27.248, 437.50000
Quick-Sort-Rand_Local-Search, 23.96, 625.00000
QS DET, 31.2802, 281.25000
Quick-Sort-Det_Chanas, 28.4986, 562.50000
Quick-Sort-Det_Local-Search, 23.96, 546.87500
IS, 62.476, 296.87500
Insertion-Sort_Chanas, 23.96, 531.25000
Insertion-Sort_Local-Search, 23.96, 609.37500
OPTIMAL, 23.96, 3734.37500
FootRule+, 23.97, 15.62500
FootRule+_Local-Search, 23.96, 281.25000
FootRule+_Chanas, 23.96, 250.00000
RandomSort, 24.414, 140.62500
RandomSort_Local-Search, 23.96, 437.50000
RandomSort_Chanas, 24.2296, 375.00000
Borda+, 30.3856, 15.62500
Borda+_Local-Search, 23.96, 312.50000
Borda+_Chanas, 27.2226, 250.00000
Score-Then-Borda+, 26.2584, 31.25000
Score-Then-Borda+_Local-Search, 23.96, 312.50000
Score-Then-Borda+_Chanas, 25.242, 265.62500
Relaxed-Linear-Program, 23.96, 3578.12500
Relaxed-Linear-Program_Local-Search, 23.96, 3812.50000
Relaxed-Linear-Program_Chanas, 23.96, 3812.50000
Local-Search, 23.96, 296.87500
Local-Search_Chanas, 23.96, 531.25000
Chanas, 28.0412, 218.75000
Chanas_Local-Search, 23.96, 500.00000
Copeland, 62.476, 218.75000
Copeland_Local-Search, 23.96, 531.25000
Copeland_Chanas, 23.96, 437.50000
QS-Rand, 43.0802, 218.75000
QS-Rand_Local-Search, 23.96, 515.62500
QS-Rand_Chanas, 30.8632, 437.50000
QS-Det, 31.2802, 218.75000
QS-Det_Local-Search, 23.96, 515.62500
QS-Det_Chanas, 28.4986, 453.12500
IS, 62.476, 218.75000
IS_Local-Search, 23.96, 531.25000
IS_Chanas, 23.96, 437.50000
Opt, 23.96, 3546.87500
