ALGORITHM, DISTANCE, TIME
FootRule+, 38.38, 62.50000
FootRule+_Chanas, 37.92, 187.50000
FootRule+_Local-Search, 37.62, 375.00000
RandomSort, 41.88, 0.00000
RandomSort_Chanas, 39.86, 125.00000
RandomSort_Local-Search, 37.62, 500.00000
Borda+, 50.66, 0.00000
Borda+_Chanas, 44.92, 125.00000
Borda+_Local-Search, 37.62, 406.25000
Score-Then-Borda+, 39.22, 0.00000
Score-Then-Borda+_Chanas, 38.42, 125.00000
Score-Then-Borda+_Local-Search, 37.62, 406.25000
Relaxed-Linear-Program, 37.62, 34906.25000
Relaxed-Linear-Program_Chanas, 37.62, 35031.25000
Relaxed-Linear-Program_Local-Search, 37.62, 34968.75000
Local-Search, 37.62, 890.62500
Local-Search_Chanas, 37.62, 1015.62500
Chanas, 62.64, 93.75000
Chanas_Local-Search, 37.62, 578.12500
Copeland, 317.0, 15.62500
Copeland_Chanas, 37.68, 78.12500
Copeland_Local-Search, 37.62, 703.12500
QS-Rand, 281.84, 15.62500
QS-Rand_Chanas, 47.66, 78.12500
QS-Rand_Local-Search, 37.62, 718.75000
QS-Det, 246.92, 15.62500
QS-Det_Chanas, 73.36, 78.12500
QS-Det_Local-Search, 37.62, 812.50000
IS, 316.24, 15.62500
IS_Chanas, 38.44, 78.12500
IS_Local-Search, 37.62, 703.12500
Opt, 37.62, 30515.62500
