ALGORITHM, DISTANCE, TIME
FootRule+, 49.81, 46.87500
FootRule+_Chanas, 49.65, 203.12500
FootRule+_Local-Search, 49.55, 375.00000
RandomSort, 58.32, 0.00000
RandomSort_Chanas, 54.87, 140.62500
RandomSort_Local-Search, 49.55, 625.00000
Borda+, 78.49, 0.00000
Borda+_Chanas, 62.32, 125.00000
Borda+_Local-Search, 49.55, 531.25000
Score-Then-Borda+, 53.075, 0.00000
Score-Then-Borda+_Chanas, 51.625, 140.62500
Score-Then-Borda+_Local-Search, 49.55, 593.75000
Relaxed-Linear-Program, 49.55, 33765.62500
Relaxed-Linear-Program_Chanas, 49.55, 33906.25000
Relaxed-Linear-Program_Local-Search, 49.55, 33875.00000
Local-Search, 49.55, 609.37500
Local-Search_Chanas, 49.55, 765.62500
Chanas, 77.465, 93.75000
Chanas_Local-Search, 49.55, 1000.00000
Copeland, 295.76, 46.87500
Copeland_Chanas, 49.605, 109.37500
Copeland_Local-Search, 49.55, 968.75000
QS-Rand, 215.905, 46.87500
QS-Rand_Chanas, 81.445, 109.37500
QS-Rand_Local-Search, 49.55, 671.87500
QS-Det, 175.77, 46.87500
QS-Det_Chanas, 80.575, 140.62500
QS-Det_Local-Search, 49.55, 765.62500
IS, 295.635, 46.87500
IS_Chanas, 49.73, 109.37500
IS_Local-Search, 49.55, 765.62500
Opt, 49.55, 31046.87500
