ALGORITHM, DISTANCE, TIME
FootRule+, 7.94, 0.00000
FootRule+_Local-Search, 7.72, 0.00000
FootRule+_Chanas, 7.84, 0.00000
RandomSort, 8.16, 0.00000
RandomSort_Local-Search, 7.72, 15.62500
RandomSort_Chanas, 7.9, 0.00000
Borda+, 11.0, 0.00000
Borda+_Local-Search, 7.72, 15.62500
Borda+_Chanas, 8.96, 15.62500
Score-Then-Borda+, 8.5, 0.00000
Score-Then-Borda+_Local-Search, 7.72, 15.62500
Score-Then-Borda+_Chanas, 8.1, 0.00000
Relaxed-Linear-Program, 7.72, 421.87500
Relaxed-Linear-Program_Local-Search, 7.72, 421.87500
Relaxed-Linear-Program_Chanas, 7.72, 437.50000
Local-Search, 7.72, 0.00000
Local-Search_Chanas, 7.72, 0.00000
Chanas, 8.06, 0.00000
Chanas_Local-Search, 7.72, 15.62500
Copeland, 19.32, 0.00000
Copeland_Local-Search, 7.72, 15.62500
Copeland_Chanas, 7.74, 0.00000
QS-Rand, 17.16, 0.00000
QS-Rand_Local-Search, 7.72, 15.62500
QS-Rand_Chanas, 8.18, 0.00000
QS-Det, 14.58, 0.00000
QS-Det_Local-Search, 7.72, 15.62500
QS-Det_Chanas, 9.68, 0.00000
IS, 19.26, 15.62500
IS_Local-Search, 7.72, 15.62500
IS_Chanas, 7.8, 15.62500
Opt, 7.72, 406.25000
