ALGORITHM, DISTANCE, TIME
FootRule+, 3.95, 62.50000
FootRule+_Chanas, 3.95, 250.00000
FootRule+_Local-Search, 3.95, 171.87500
RandomSort, 4.075, 15.62500
RandomSort_Chanas, 4.01, 187.50000
RandomSort_Local-Search, 3.95, 437.50000
Borda+, 4.07, 0.00000
Borda+_Chanas, 4.01, 171.87500
Borda+_Local-Search, 3.95, 234.37500
Score-Then-Borda+, 3.95, 0.00000
Score-Then-Borda+_Chanas, 3.95, 187.50000
Score-Then-Borda+_Local-Search, 3.95, 93.75000
Relaxed-Linear-Program, 3.95, 29171.87500
Relaxed-Linear-Program_Chanas, 3.95, 29359.37500
Relaxed-Linear-Program_Local-Search, 3.95, 29265.62500
Local-Search, 3.95, 609.37500
Local-Search_Chanas, 3.95, 781.25000
Chanas, 14.885, 156.25000
Chanas_Local-Search, 3.95, 671.87500
Copeland, 341.415, 46.87500
Copeland_Chanas, 3.95, 187.50000
Copeland_Local-Search, 3.95, 656.25000
QS-Rand, 314.035, 31.25000
QS-Rand_Chanas, 26.21, 171.87500
QS-Rand_Local-Search, 3.95, 656.25000
QS-Det, 273.185, 31.25000
QS-Det_Chanas, 37.58, 171.87500
QS-Det_Local-Search, 3.95, 546.87500
IS, 341.415, 46.87500
IS_Chanas, 3.95, 187.50000
IS_Local-Search, 3.95, 765.62500
Opt, 3.95, 29250.00000
