ALGORITHM, DISTANCE, TIME
FootRule+, 190.92, 15.62500
FootRule+_Chanas, 188.316, 171.87500
FootRule+_Local-Search, 187.106, 343.75000
RandomSort, 203.168, 15.62500
RandomSort_Chanas, 191.35, 156.25000
RandomSort_Local-Search, 187.226, 218.75000
Borda+, 189.304, 15.62500
Borda+_Chanas, 188.45, 171.87500
Borda+_Local-Search, 187.094, 218.75000
Score-Then-Borda+, 189.304, 31.25000
Score-Then-Borda+_Chanas, 188.45, 187.50000
Score-Then-Borda+_Local-Search, 187.098, 250.00000
Relaxed-Linear-Program, 187.086, 3609.37500
Relaxed-Linear-Program_Chanas, 187.086, 3765.62500
Relaxed-Linear-Program_Local-Search, 187.086, 3750.00000
Local-Search, 187.168, 234.37500
Local-Search_Chanas, 187.168, 390.62500
Chanas, 191.67, 140.62500
Chanas_Local-Search, 187.15, 343.75000
Copeland, 227.918, 187.50000
Copeland_Chanas, 188.356, 375.00000
Copeland_Local-Search, 187.296, 484.37500
QS-Rand, 218.886, 140.62500
QS-Rand_Chanas, 191.916, 281.25000
QS-Rand_Local-Search, 187.158, 375.00000
QS-Det, 218.238, 140.62500
QS-Det_Chanas, 189.906, 281.25000
QS-Det_Local-Search, 187.226, 375.00000
IS, 224.258, 140.62500
IS_Chanas, 190.292, 281.25000
IS_Local-Search, 187.094, 406.25000
Opt, 187.086, 3609.37500
