ALGORITHM, DISTANCE, TIME
FootRule+, 5.92, 0.00000
FootRule+_Local-Search, 5.88, 0.00000
FootRule+_Chanas, 5.9, 15.62500
RandomSort, 6.2, 0.00000
RandomSort_Local-Search, 5.88, 15.62500
RandomSort_Chanas, 5.96, 0.00000
Borda+, 6.46, 0.00000
Borda+_Local-Search, 5.88, 0.00000
Borda+_Chanas, 6.0, 0.00000
Score-Then-Borda+, 6.46, 0.00000
Score-Then-Borda+_Local-Search, 5.88, 15.62500
Score-Then-Borda+_Chanas, 6.0, 0.00000
Relaxed-Linear-Program, 5.88, 109.37500
Relaxed-Linear-Program_Local-Search, 5.88, 109.37500
Relaxed-Linear-Program_Chanas, 5.88, 109.37500
Local-Search, 5.88, 0.00000
Local-Search_Chanas, 5.88, 0.00000
Chanas, 5.98, 15.62500
Chanas_Local-Search, 5.88, 15.62500
Copeland, 7.62, 0.00000
Copeland_Local-Search, 5.88, 0.00000
Copeland_Chanas, 5.92, 0.00000
QS-Rand, 7.52, 0.00000
QS-Rand_Local-Search, 5.88, 15.62500
QS-Rand_Chanas, 5.92, 0.00000
QS-Det, 7.48, 0.00000
QS-Det_Local-Search, 5.88, 0.00000
QS-Det_Chanas, 5.96, 0.00000
IS, 7.66, 0.00000
IS_Local-Search, 5.88, 0.00000
IS_Chanas, 5.88, 0.00000
Opt, 5.88, 109.37500
