ALGORITHM, DISTANCE, TIME
FootRule+, 1.843, 15.62500
FootRule+_Chanas, 1.843, 78.12500
FootRule+_Local-Search, 1.843, 62.50000
RandomSort, 1.843, 15.62500
RandomSort_Chanas, 1.843, 62.50000
RandomSort_Local-Search, 1.843, 62.50000
Borda+, 1.905, 0.00000
Borda+_Chanas, 1.843, 62.50000
Borda+_Local-Search, 1.843, 78.12500
Score-Then-Borda+, 1.8605, 15.62500
Score-Then-Borda+_Chanas, 1.843, 62.50000
Score-Then-Borda+_Local-Search, 1.843, 93.75000
Relaxed-Linear-Program, 1.843, 3375.00000
Relaxed-Linear-Program_Chanas, 1.843, 3421.87500
Relaxed-Linear-Program_Local-Search, 1.843, 3421.87500
Local-Search, 1.843, 109.37500
Local-Search_Chanas, 1.843, 171.87500
Chanas, 8.869, 46.87500
Chanas_Local-Search, 1.843, 125.00000
Copeland, 86.5675, 31.25000
Copeland_Chanas, 1.843, 78.12500
Copeland_Local-Search, 1.843, 140.62500
QS-Rand, 58.8345, 31.25000
QS-Rand_Chanas, 9.135, 78.12500
QS-Rand_Local-Search, 1.843, 125.00000
QS-Det, 58.947, 31.25000
QS-Det_Chanas, 11.6565, 78.12500
QS-Det_Local-Search, 1.843, 140.62500
IS, 86.5675, 31.25000
IS_Chanas, 1.843, 78.12500
IS_Local-Search, 1.843, 140.62500
Opt, 1.843, 3531.25000
