ALGORITHM, DISTANCE, TIME
FootRule+, 1.6, 15.62500
FootRule+_Local-Search, 1.6, 31.25000
FootRule+_Chanas, 1.6, 31.25000
RandomSort, 1.72, 0.00000
RandomSort_Local-Search, 1.6, 31.25000
RandomSort_Chanas, 1.66, 15.62500
Borda+, 1.9, 0.00000
Borda+_Local-Search, 1.6, 46.87500
Borda+_Chanas, 1.66, 15.62500
Score-Then-Borda+, 1.6, 0.00000
Score-Then-Borda+_Local-Search, 1.6, 15.62500
Score-Then-Borda+_Chanas, 1.6, 31.25000
Relaxed-Linear-Program, 1.6, 3453.12500
Relaxed-Linear-Program_Local-Search, 1.6, 3453.12500
Relaxed-Linear-Program_Chanas, 1.6, 3468.75000
Local-Search, 1.6, 31.25000
Local-Search_Chanas, 1.6, 62.50000
Chanas, 5.86, 15.62500
Chanas_Local-Search, 1.6, 62.50000
Copeland, 98.92, 15.62500
Copeland_Local-Search, 1.6, 93.75000
Copeland_Chanas, 1.6, 15.62500
QS-Rand, 79.6, 0.00000
QS-Rand_Local-Search, 1.6, 78.12500
QS-Rand_Chanas, 7.42, 15.62500
QS-Det, 72.6, 0.00000
QS-Det_Local-Search, 1.6, 93.75000
QS-Det_Chanas, 10.98, 15.62500
IS, 98.92, 15.62500
IS_Local-Search, 1.6, 93.75000
IS_Chanas, 1.6, 31.25000
Opt, 1.6, 3453.12500
