ALGORITHM, DISTANCE, TIME
FootRule+, 11.7465, 0.00000
FootRule+_Local-Search, 11.721, 31.25000
FootRule+_Chanas, 11.731, 15.62500
RandomSort, 11.998, 31.25000
RandomSort_Local-Search, 11.721, 62.50000
RandomSort_Chanas, 11.773, 46.87500
Borda+, 12.659, 15.62500
Borda+_Local-Search, 11.721, 46.87500
Borda+_Chanas, 11.9075, 31.25000
Score-Then-Borda+, 12.232, 15.62500
Score-Then-Borda+_Local-Search, 11.721, 31.25000
Score-Then-Borda+_Chanas, 11.809, 31.25000
Relaxed-Linear-Program, 11.721, 421.87500
Relaxed-Linear-Program_Local-Search, 11.721, 437.50000
Relaxed-Linear-Program_Chanas, 11.721, 437.50000
Local-Search, 11.721, 31.25000
Local-Search_Chanas, 11.721, 46.87500
Chanas, 11.895, 15.62500
Chanas_Local-Search, 11.721, 46.87500
Copeland, 13.576, 15.62500
Copeland_Local-Search, 11.721, 31.25000
Copeland_Chanas, 11.727, 31.25000
QS-Rand, 12.927, 15.62500
QS-Rand_Local-Search, 11.721, 46.87500
QS-Rand_Chanas, 11.9955, 31.25000
QS-Det, 12.798, 15.62500
QS-Det_Local-Search, 11.721, 31.25000
QS-Det_Chanas, 12.086, 31.25000
IS, 13.5775, 31.25000
IS_Local-Search, 11.721, 46.87500
IS_Chanas, 11.7255, 46.87500
Opt, 11.721, 578.12500
