ALGORITHM, DISTANCE, TIME
FootRule+, 2.215, 31.25000
FootRule+_Local-Search, 2.215, 78.12500
FootRule+_Chanas, 2.215, 109.37500
RandomSort, 2.29, 15.62500
RandomSort_Local-Search, 2.215, 156.25000
RandomSort_Chanas, 2.215, 78.12500
Borda+, 3.055, 0.00000
Borda+_Local-Search, 2.215, 187.50000
Borda+_Chanas, 2.325, 62.50000
Score-Then-Borda+, 2.24, 0.00000
Score-Then-Borda+_Local-Search, 2.215, 93.75000
Score-Then-Borda+_Chanas, 2.215, 78.12500
Relaxed-Linear-Program, 2.215, 11765.62500
Relaxed-Linear-Program_Local-Search, 2.215, 11812.50000
Relaxed-Linear-Program_Chanas, 2.215, 11843.75000
Local-Search, 2.215, 265.62500
Local-Search_Chanas, 2.215, 328.12500
Chanas, 7.99, 78.12500
Chanas_Local-Search, 2.215, 250.00000
Copeland, 174.255, 15.62500
Copeland_Local-Search, 2.215, 281.25000
Copeland_Chanas, 2.215, 93.75000
QS-Rand, 156.505, 15.62500
QS-Rand_Local-Search, 2.215, 343.75000
QS-Rand_Chanas, 12.795, 93.75000
QS-Det, 139.3, 31.25000
QS-Det_Local-Search, 2.215, 359.37500
QS-Det_Chanas, 18.92, 109.37500
IS, 174.255, 15.62500
IS_Local-Search, 2.215, 343.75000
IS_Chanas, 2.215, 93.75000
Opt, 2.215, 11890.62500
