ALGORITHM, DISTANCE, TIME
FootRule+, 30.54, 15.62500
FootRule+_Chanas, 30.26, 78.12500
FootRule+_Local-Search, 29.72, 140.62500
RandomSort, 33.1, 0.00000
RandomSort_Chanas, 31.66, 46.87500
RandomSort_Local-Search, 29.72, 171.87500
Borda+, 43.42, 0.00000
Borda+_Chanas, 35.34, 46.87500
Borda+_Local-Search, 29.72, 296.87500
Score-Then-Borda+, 30.92, 0.00000
Score-Then-Borda+_Chanas, 30.4, 46.87500
Score-Then-Borda+_Local-Search, 29.72, 171.87500
Relaxed-Linear-Program, 29.72, 13703.12500
Relaxed-Linear-Program_Chanas, 29.72, 13765.62500
Relaxed-Linear-Program_Local-Search, 29.72, 13734.37500
Local-Search, 29.72, 296.87500
Local-Search_Chanas, 29.72, 343.75000
Chanas, 39.22, 31.25000
Chanas_Local-Search, 29.72, 328.12500
Copeland, 175.96, 0.00000
Copeland_Chanas, 30.14, 15.62500
Copeland_Local-Search, 29.72, 250.00000
QS-Rand, 158.24, 0.00000
QS-Rand_Chanas, 42.28, 15.62500
QS-Rand_Local-Search, 29.72, 218.75000
QS-Det, 138.16, 15.62500
QS-Det_Chanas, 47.66, 46.87500
QS-Det_Local-Search, 29.72, 218.75000
IS, 175.54, 0.00000
IS_Chanas, 30.56, 31.25000
IS_Local-Search, 29.72, 250.00000
Opt, 29.72, 11937.50000
