ALGORITHM, DISTANCE, TIME
FootRule+, 9.4, 0.00000
FootRule+_Chanas, 9.3875, 15.62500
FootRule+_Local-Search, 9.3875, 15.62500
RandomSort, 9.48375, 15.62500
RandomSort_Chanas, 9.41625, 31.25000
RandomSort_Local-Search, 9.3875, 31.25000
Borda+, 10.2825, 0.00000
Borda+_Chanas, 9.77875, 15.62500
Borda+_Local-Search, 9.3875, 15.62500
Score-Then-Borda+, 9.8975, 0.00000
Score-Then-Borda+_Chanas, 9.46875, 0.00000
Score-Then-Borda+_Local-Search, 9.3875, 15.62500
Relaxed-Linear-Program, 9.3875, 406.25000
Relaxed-Linear-Program_Chanas, 9.3875, 406.25000
Relaxed-Linear-Program_Local-Search, 9.3875, 421.87500
Local-Search, 9.3875, 15.62500
Local-Search_Chanas, 9.3875, 15.62500
Chanas, 10.09875, 0.00000
Chanas_Local-Search, 9.3875, 15.62500
Copeland, 15.9325, 15.62500
Copeland_Chanas, 9.3875, 15.62500
Copeland_Local-Search, 9.3875, 31.25000
QS-Rand, 14.75375, 0.00000
QS-Rand_Chanas, 10.0475, 15.62500
QS-Rand_Local-Search, 9.3875, 15.62500
QS-Det, 11.655, 0.00000
QS-Det_Chanas, 10.645, 15.62500
QS-Det_Local-Search, 9.3875, 15.62500
IS, 15.9325, 15.62500
IS_Chanas, 9.3875, 15.62500
IS_Local-Search, 9.3875, 31.25000
Opt, 9.3875, 421.87500
