ALGORITHM, DISTANCE, TIME
FootRule+, 58.1, 15.62500
FootRule+_Local-Search, 57.75, 203.12500
FootRule+_Chanas, 57.845, 78.12500
RandomSort, 65.375, 0.00000
RandomSort_Local-Search, 57.78, 265.62500
RandomSort_Chanas, 62.57, 62.50000
Borda+, 81.095, 0.00000
Borda+_Local-Search, 57.785, 312.50000
Borda+_Chanas, 66.38, 46.87500
Score-Then-Borda+, 62.3, 0.00000
Score-Then-Borda+_Local-Search, 57.76, 265.62500
Score-Then-Borda+_Chanas, 59.72, 62.50000
Relaxed-Linear-Program, 57.75, 13765.62500
Relaxed-Linear-Program_Local-Search, 57.75, 13812.50000
Relaxed-Linear-Program_Chanas, 57.75, 13828.12500
Local-Search, 57.75, 265.62500
Local-Search_Chanas, 57.75, 328.12500
Chanas, 64.61, 31.25000
Chanas_Local-Search, 57.78, 312.50000
Copeland, 118.565, 15.62500
Copeland_Local-Search, 57.76, 421.87500
Copeland_Chanas, 57.905, 46.87500
QS-Rand, 109.59, 31.25000
QS-Rand_Local-Search, 57.75, 390.62500
QS-Rand_Chanas, 61.64, 62.50000
QS-Det, 100.73, 31.25000
QS-Det_Local-Search, 57.76, 296.87500
QS-Det_Chanas, 67.63, 62.50000
IS, 118.345, 15.62500
IS_Local-Search, 57.76, 359.37500
IS_Chanas, 58.125, 31.25000
Opt, 57.75, 12156.25000
