ALGORITHM, DISTANCE, TIME
FootRule+, 146.2625, 78.12500
FootRule+_Chanas, 146.095, 343.75000
FootRule+_Local-Search, 145.90875, 968.75000
RandomSort, 157.68625, 31.25000
RandomSort_Chanas, 150.665, 234.37500
RandomSort_Local-Search, 145.90375, 875.00000
Borda+, 159.1275, 0.00000
Borda+_Chanas, 150.525, 218.75000
Borda+_Local-Search, 145.9075, 968.75000
Score-Then-Borda+, 151.36625, 15.62500
Score-Then-Borda+_Chanas, 147.93, 250.00000
Score-Then-Borda+_Local-Search, 145.92125, 812.50000
Relaxed-Linear-Program, 145.90125, 34375.00000
Relaxed-Linear-Program_Chanas, 145.90125, 34625.00000
Relaxed-Linear-Program_Local-Search, 145.90125, 34593.75000
Local-Search, 145.90875, 843.75000
Local-Search_Chanas, 145.90875, 1109.37500
Chanas, 152.1775, 203.12500
Chanas_Local-Search, 145.92125, 1046.87500
Copeland, 190.9825, 171.87500
Copeland_Chanas, 146.12625, 343.75000
Copeland_Local-Search, 145.905, 1031.25000
QS-Rand, 181.7625, 171.87500
QS-Rand_Chanas, 153.595, 343.75000
QS-Rand_Local-Search, 145.91875, 1218.75000
QS-Det, 179.095, 156.25000
QS-Det_Chanas, 155.41, 406.25000
QS-Det_Local-Search, 145.91375, 1203.12500
IS, 190.41625, 171.87500
IS_Chanas, 146.6925, 343.75000
IS_Local-Search, 145.9125, 1625.00000
Opt, 145.90125, 30000.00000
