ALGORITHM, DISTANCE, TIME
FootRule+, 1.595, 15.62500
FootRule+_Chanas, 1.595, 46.87500
FootRule+_Local-Search, 1.595, 31.25000
RandomSort, 1.66, 0.00000
RandomSort_Chanas, 1.595, 15.62500
RandomSort_Local-Search, 1.595, 31.25000
Borda+, 1.82, 0.00000
Borda+_Chanas, 1.595, 15.62500
Borda+_Local-Search, 1.595, 46.87500
Score-Then-Borda+, 1.595, 0.00000
Score-Then-Borda+_Chanas, 1.595, 31.25000
Score-Then-Borda+_Local-Search, 1.595, 15.62500
Relaxed-Linear-Program, 1.595, 3500.00000
Relaxed-Linear-Program_Chanas, 1.595, 3515.62500
Relaxed-Linear-Program_Local-Search, 1.595, 3515.62500
Local-Search, 1.595, 78.12500
Local-Search_Chanas, 1.595, 93.75000
Chanas, 8.76, 15.62500
Chanas_Local-Search, 1.595, 78.12500
Copeland, 85.335, 0.00000
Copeland_Chanas, 1.595, 15.62500
Copeland_Local-Search, 1.595, 78.12500
QS-Rand, 74.525, 0.00000
QS-Rand_Chanas, 6.695, 31.25000
QS-Rand_Local-Search, 1.595, 78.12500
QS-Det, 69.125, 0.00000
QS-Det_Chanas, 7.725, 15.62500
QS-Det_Local-Search, 1.595, 93.75000
IS, 85.335, 15.62500
IS_Chanas, 1.595, 31.25000
IS_Local-Search, 1.595, 93.75000
Opt, 1.595, 3515.62500
