ALGORITHM, DISTANCE, TIME
FootRule+, 515.09, 59.81338
Borda+, 578.005, 9.06254
Score-Then-Borda+, 553.155, 14.03354
RandomSort, 564.8, 7.57068
Local-Search, 503.99, 971.60624
Linear-Programming-Relaxation, 504.165, 4762.18566
Copeland, 829.45, 162.49330
OPTIMAL, 503.585, 4701.20798
