ALGORITHM, DISTANCE, TIME
FootRule+, 192.365, 24.28552
Borda+, 214.565, 4.49855
Score-Then-Borda+, 203.425, 6.73796
RandomSort, 212.08, 7.25214
Local-Search, 189.89, 377.97170
Linear-Programming-Relaxation, 189.85, 1888.16642
Copeland, 329.555, 65.16233
OPTIMAL, 189.85, 1874.81926
