ALGORITHM, DISTANCE, TIME
FootRule+, 29.6532, 264.47440
Borda+, 29.6532, 424.36682
Score-Then-Borda+, 29.6532, 669.13335
RandomSort, 48.3174, 186.86207
Local-Search, 29.6532, 7053.04893
Linear-Programming-Relaxation, 29.6532, 10754.10674
Copeland, 1694.8216, 6315.49675
OPTIMAL, 29.6532, 10763.37826
