ALGORITHM, DISTANCE, TIME
FootRule+, 334.10875, 33.53726
Borda+, 340.59875, 26.00783
Score-Then-Borda+, 340.59875, 38.03434
RandomSort, 348.13375, 28.34053
Local-Search, 329.46625, 664.34533
Linear-Programming-Relaxation, 329.7525, 2176.24391
Copeland, 409.28125, 356.13572
OPTIMAL, 329.43625, 2169.95545
