ALGORITHM, DISTANCE, TIME
FootRule+, 2367.75, 1203.12500
FootRule+_Chanas, 2343.0, 3265.62500
FootRule+_Local-Search, 2272.5, 17156.25000
RandomSort, 2995.0, 0.00000
RandomSort_Chanas, 2838.5, 1640.62500
RandomSort_Local-Search, 2272.75, 25734.37500
Borda+, 2981.5, 0.00000
Borda+_Chanas, 2921.0, 1593.75000
Borda+_Local-Search, 2270.0, 15109.37500
Score-Then-Borda+, 2343.0, 15.62500
Score-Then-Borda+_Chanas, 2311.75, 2187.50000
Score-Then-Borda+_Local-Search, 2270.25, 13187.50000
Relaxed-Linear-Program, 2270.0, 928265.62500
Relaxed-Linear-Program_Chanas, 2270.0, 930531.25000
Relaxed-Linear-Program_Local-Search, 2270.0, 929703.12500
Local-Search, 2272.25, 17171.87500
Local-Search_Chanas, 2272.25, 19406.25000
Chanas, 3292.25, 828.12500
Chanas_Local-Search, 2275.75, 22968.75000
Copeland, 9031.0, 46.87500
Copeland_Chanas, 2310.0, 156.25000
Copeland_Local-Search, 2274.25, 17812.50000
QS-Rand, 7624.75, 31.25000
QS-Rand_Chanas, 3370.25, 312.50000
QS-Rand_Local-Search, 2271.75, 15203.12500
QS-Det, 7319.5, 109.37500
QS-Det_Chanas, 2805.0, 718.75000
QS-Det_Local-Search, 2272.0, 17593.75000
IS, 9016.25, 46.87500
IS_Chanas, 2324.75, 140.62500
IS_Local-Search, 2274.25, 17531.25000
Opt, 2270.0, 689218.75000
